dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[81.579, 80.687, 80.52]","[0.338, 0.0, 0.0]",1251,22,1,9646
False,False,63,False,"[81.241, 81.069, 80.575]","[0.0, 0.382, 0.055]",1251,28,2,9646
False,False,4,False,"[81.578, 80.983, 80.772]","[0.337, 0.296, 0.252]",1251,22,3,9646
False,False,81,False,"[81.821, 81.121, 80.829]","[0.58, 0.434, 0.309]",1251,22,4,9646
False,False,16,False,"[81.278, 81.0, 80.852]","[0.037, 0.313, 0.332]",1251,26,5,9646
False,False,44,False,"[81.637, 81.095, 81.011]","[0.396, 0.408, 0.491]",1251,27,6,9646
False,False,55,False,"[81.447, 81.199, 81.041]","[0.206, 0.512, 0.521]",1251,26,7,9646
False,False,14,False,"[81.608, 81.208, 81.251]","[0.367, 0.521, 0.731]",1251,19,8,9646
False,False,11,False,"[81.675, 81.425, 81.425]","[0.434, 0.738, 0.905]",1251,22,9,9646
False,False,20,False,"[81.891, 81.387, 81.5]","[0.65, 0.7, 0.98]",1251,26,10,9646
False,False,10,False,"[81.843, 81.437, None]","[0.602, 0.75, None]",1251,18,11,9646
False,False,24,False,"[82.103, 81.501, None]","[0.862, 0.814, None]",1251,19,12,9646
False,False,77,False,"[81.927, 81.731, None]","[0.686, 1.044, None]",1251,19,13,9646
False,False,22,False,"[82.364, 81.771, None]","[1.123, 1.084, None]",1251,16,14,9646
False,False,18,False,"[82.011, 81.911, None]","[0.77, 1.224, None]",1251,14,15,9646
False,False,23,False,"[82.39, None, None]","[1.149, None, None]",1251,9,16,9646
False,False,30,False,"[82.411, None, None]","[1.17, None, None]",1251,10,17,9646
False,False,27,False,"[82.442, None, None]","[1.201, None, None]",1251,10,18,9646
False,False,43,False,"[82.594, None, None]","[1.353, None, None]",1251,9,19,9646
False,False,31,False,"[82.714, None, None]","[1.473, None, None]",1251,10,20,9646
